objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,kny.jpg,,,Demon Slayer,UFOtable,2023-02-20,Promotional poster,Kimetsu no yaiba; Demon slayer,Japan,35.66697276,139.7705119,https://www.google.com/imgres?imgurl=https%3A%2F%2Fw0.peakpx.com%2Fwallpaper%2F358%2F749%2FHD-wallpaper-demon-slayer-manga-anime-kny.jpg&imgrefurl=https%3A%2F%2Fwww.peakpx.com%2Fen%2Fsearch%3Fq%3Dkny&tbnid=hhEwonCnpnlhbM&vet=12ahUKEwiJ7ZKDiaP9AhVmzaACHReZAnMQMygAegUIARDoAQ..i&docid=8_wz4zD0Cm_7hM&w=800&h=1003&q=kny&ved=2ahUKEwiJ7ZKDiaP9AhVmzaACHReZAnMQMygAegUIARDoAQ,,Image,image/jpg,,,
coll002,kny.jpg,,,Demon Slayer,UFOtable,2023-02-20,Promotional poster,Kimetsu no yaiba; Demon slayer,Japan,35.66697276,139.7705119,https://www.google.com/imgres?imgurl=https%3A%2F%2Fw0.peakpx.com%2Fwallpaper%2F358%2F749%2FHD-wallpaper-demon-slayer-manga-anime-kny.jpg&imgrefurl=https%3A%2F%2Fwww.peakpx.com%2Fen%2Fsearch%3Fq%3Dkny&tbnid=hhEwonCnpnlhbM&vet=12ahUKEwiJ7ZKDiaP9AhVmzaACHReZAnMQMygAegUIARDoAQ..i&docid=8_wz4zD0Cm_7hM&w=800&h=1003&q=kny&ved=2ahUKEwiJ7ZKDiaP9AhVmzaACHReZAnMQMygAegUIARDoAQ,,Image,image/jpg,,,
